Description,Brand,Price,Img url,Country
Aqua Delta Natural Drinking Water - 1.5 Liters - 12 Bottles,Unknown,59.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h9e/ha2/47190255304734/200Wx200H_561421_main.jpg,Egypt
Aqua Delta Natural Drinking Water - 600ml - 20 Bottles,Unknown,59.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h38/h9c/47190255140894/200Wx200H_561422_main.jpg,Egypt
Misr Caf&eacute; Adan Tea With Ginger - 25 grams,Misr Cafe,6.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h58/he0/14584264458270/463007_main.jpg_200Wx200H,Egypt
Aqua Delta Water - 19 Liter,Unknown,61.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he3/h59/46979756687390/200Wx200H_510166_main.jpg,Egypt
Aqua Delta Natural Drinking Water - 1.5 Liter,Unknown,5.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3c/h86/46979623321630/200Wx200H_510162_main.jpg,Egypt
Aqua Delta Natural Drinking Water - 600ml,Unknown,3.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h31/h09/48662249832478/200Wx200H_510163_main.jpg,Egypt
Elano Natural Drinking Water -1.5 Liter,Unknown,5.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h88/h97/31258533494814/533155_main.jpg_200Wx200H,Egypt
Elano Natural Drinking Water - 600 ml,Unknown,3.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb8/hfa/31258532675614/533153_main.jpg_200Wx200H,Egypt
Juhayna Classic Apple Juice - 1 Liter,Juhayna,24.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf0/hbe/26753159987230/3694_main.jpg_200Wx200H,Egypt
Juhayna Classic Mango Juice - 1 Liter,Juhayna,26.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h81/hef/26753162149918/3700_main.jpg_200Wx200H,Egypt
Beyti Tropicana Mango Juice - 1 Liter,Beyti,25.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h1b/h7b/51756407750686/200Wx200H_469582_main.jpg,Egypt
Beyti Tropicana Apple Juice - 1 Liter,Beyti,24.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h06/h0a/51756408995870/200Wx200H_469581_main.jpg,Egypt
Maya Natural Mineral Still Water - 2 Liters - 6 Pieces,Carrefour,44.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7b/h03/44726499770398/200Wx200H_556911_main.jpg,Egypt
Juhayna Premium Classics Pineapple Juice - 1 Litre,Juhayna,24.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h1a/h7f/26753163329566/3702_main.jpg_200Wx200H,Egypt
Juhayna Pure Apple Juice - 1 Liter,Juhayna,42.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h75/h47/26753160478750/3695_main.jpg_200Wx200H,Egypt
Juhayna Premium Classics Orange Juice - 1 Liter,Juhayna,24.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h94/hd0/26753159430174/3690_main.jpg_200Wx200H,Egypt
Lamar Mango Drink - 200ml,Lamar,5.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6c/hfd/35096196120606/200Wx200H_540010_main.jpg,Egypt
Juhayna Classic Apple Juice - 235 ml,Juhayna,9.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h64/ha5/26753205534750/433828_main.jpg_200Wx200H,Egypt
Lamar Apple Drink - 200 ml,Lamar,5.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h78/ha3/35096195465246/200Wx200H_540012_main.jpg,Egypt
Juhayna Pure Pineapple Juice - 1 Litre,Juhayna,42.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h18/h42/26753212842014/310921_main.jpg_200Wx200H,Egypt
Juhayna Classic Mango Juice - 235 ml,Juhayna,9.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h86/he9/26753206779934/433826_main.jpg_200Wx200H,Egypt
Juhayna Classic Guava Juice - 1 Liter,Juhayna,24.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7b/hdb/26753162706974/3701_main.jpg_200Wx200H,Egypt
Beyti Tropicana Cocktail Juice - 1 liter,Beyti,24.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbc/h88/51756407357470/200Wx200H_469584_main.jpg,Egypt
Juhayna Pure Mango And Peach Juice - 1 Liter,Juhayna,42.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd9/hfa/26753214087198/310918_main.jpg_200Wx200H,Egypt
Juhayna Classic Cocktail Juice - 1 Liter,Juhayna,24.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hdf/hb4/26753161592862/3705_main.jpg_200Wx200H,Egypt
