Description,Brand,Price,Img url,Country
Domty Shredded Mozzarella Cheese - 280 gm,Domty,67.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4e/h41/11051601166366/11829_main.jpg_200Wx200H,Egypt
Domty Plus Feta Cheese - 1 kg,Domty,82.85 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd7/h57/9286869188638/437292_main.jpg_200Wx200H,Egypt
Domty Talaga Cheese - 700gm,Domty,129.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2c/hb5/11710824120350/11832_main.jpg_200Wx200H,Egypt
Katilo Natural Ghee - 900 Gram,Unknown,349.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfc/hb4/9286925942814/488922_main.jpg_200Wx200H,Egypt
Katilo Low Salt White Cheese - 500 gram,Unknown,139.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h72/h03/14685204709406/488913_main.jpg_200Wx200H,Egypt
Katilo Natural Ghee - 450 gm,Unknown,208.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfc/hd9/9802820583454/508955_main.jpg_200Wx200H,Egypt
Katilo Old Roomi Cheese Full Cream - 600 gram,Unknown,255.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc8/h7c/51653082644510/200Wx200H_582201_main.jpg,Egypt
Katilo Istunboly Cheese - 1500 Gram,Unknown,210.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8b/h4e/9286929547294/488915_main.jpg_200Wx200H,Egypt
Dina Farms Soft White Cheese - 450 gram,Dina Farms,76.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h9f/hb2/47699723747358/200Wx200H_581208_main.jpg,Egypt
Dina Farms Low Salt Cheese - 450 gram,Dina Farms,76.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc6/hb9/47699723976734/200Wx200H_581207_main.jpg,Egypt
Dina Farms Istanboli Cheese - 450 gram,Dina Farms,76.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h39/hac/47699723583518/200Wx200H_581209_main.jpg,Egypt
Dina Farms Barameely Cheese - 450 gram,Dina Farms,76.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h14/hf8/47699724140574/200Wx200H_581210_main.jpg,Egypt
Dina Farms Rayeb Milk - 850 ml,Dina Farms,36.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hce/h13/47699687899166/200Wx200H_297886_main.jpg,Egypt
Domty Istanbouly Plus Cheese - 500 gm,Domty,46.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h49/h6c/34782992400414/200Wx200H_450575_main.jpg,Egypt
Domty Feta Plus Cheese With Olives - 500 gm,Domty,40.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h46/h6e/9286898679838/450576_main.jpg_200Wx200H,Egypt
Domty Feta Cheese - 450gm,Domty,79.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h93/h14/9286839238686/419782_main.jpg_200Wx200H,Egypt
Domty Feta Plus Cheese With Romey - 500 gram,Domty,45.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h25/h26/14274517139486/556305_main.jpg_200Wx200H,Egypt
