Description,Brand,Price,Img url,Country
Halwani Beef Hot Dog - 500 gram,Halwani bros,105.65 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf7/h51/15085632159774/38060_main.jpg_200Wx200H,Egypt
Al Marai Beef Hotdog 240 gram - 2 + 1 Free,Almarai,172.40 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he6/hea/15054969110558/108409_main.jpg_200Wx200H,Egypt
Halwani Chicken Luncheon Roll - 250gm,Halwani bros,64.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4e/he7/9286519881758/38045_main.jpg_200Wx200H,Egypt
Halwani Beef Frank - 200 gram,Halwani bros,47.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h9b/h06/9286509395998/38062_main.jpg_200Wx200H,Egypt
Halwani Luncheon Beef Roll - 250 gram,Halwani bros,64.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hec/h7d/10065940217886/38042_main.jpg_200Wx200H,Egypt
AlMarai Beef Frankfurter - 450 gram - 2+1 Free,Almarai,124.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf4/hc6/15054968946718/379434_main.jpg_200Wx200H,Egypt
AlWatania Chicken Luncheon With Olives - 500gm,Al -Watania Poultry,94.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd6/h40/9286924632094/497880_main.jpg_200Wx200H,Egypt
Al Watania Poultry Luncheon With Olives - 250 gm,Al -Watania Poultry,49.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8e/h58/9933138788382/497879_main.jpg_200Wx200H,Egypt
AlWatania Chicken Luncheon - 250gm,Al -Watania Poultry,49.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h75/hae/9286991544350/411052_main.jpg_200Wx200H,Egypt
Halwani Luncheon Beef Olive - 250 gram,Halwani bros,64.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd0/h0b/9287012253726/421157_main.jpg_200Wx200H,Egypt
AL Watania Luncheon With Olive - 1000 Gram,Al -Watania Poultry,169.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0b/h1b/9286928564254/497878_main.jpg_200Wx200H,Egypt
