Description,Brand,Price,Img url,Country
N1 Pommes Frites - 2.5 kg,Unknown,93.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h36/h89/13688604917790/129953_main.jpg_200Wx200H,Egypt
Almarai Beef Burger - 1kg,Almarai,89.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h91/he0/15054964916254/228879_main.jpg_200Wx200H,Egypt
Three Chefs Chicken Strips - 1kg,3 Chefs,233.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7f/hf6/16764525412382/538091_main.jpg_200Wx200H,Egypt
Three Chefs Spicy Chicken Strips - 1kg,3 Chefs,233.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf8/hfc/16764525248542/538092_main.jpg_200Wx200H,Egypt
Halwani Bros Beef Burger - 1 Kg - 20 Burgers,Halwani bros,207.15 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h38/he3/51411619872798/200Wx200H_384425_main.jpg,Egypt
Home Potato Pommes Frites - 2.5 kg,Carrefour,89.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h36/h8e/14623747375134/530004_main.jpg_200Wx200H,Egypt
Three Chefs Chicken Pane - 1 kg,3 Chefs,218.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0d/h40/16764523708446/538090_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Strips - 1kg,Halwani bros,263.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h27/h5f/9908975403038/523470_main.jpg_200Wx200H,Egypt
Halwani Bros Beef Burger Jumbo - 2kg,Halwani bros,455.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h22/h25/14623560302622/38028_main.jpg_200Wx200H,Egypt
Halwani Chicken Pane - 1 Kg,Halwani bros,247.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6a/h34/14773451587614/448245_main.jpg_200Wx200H,Egypt
Three Chefs Chicken Pane Spicy - 1kg,3 Chefs,218.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hff/ha3/16764524593182/175945_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Strips Spicy - 1kg,Halwani bros,263.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h13/h9e/14773491040286/523471_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Nuggets - 1kg,Halwani bros,247.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfe/h28/49612884443166/200Wx200H_523472_main.jpg,Egypt
Basma Frozen Peas - 400 gram,Basma,25.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7b/h38/14623634259998/11653_main.jpg_200Wx200H,Egypt
Faraza Whole Chicken - 1000-1100 gram,Unknown,145.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h42/hef/45710402977822/200Wx200H_600869_main.jpg,Egypt
AlMarai Beef Kofta - 25 Count,Almarai,165.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf7/he6/15054964752414/225936_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Pane Spicy - 1 Kg,Halwani bros,247.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he4/h3a/14773451751454/448246_main.jpg_200Wx200H,Egypt
Basma Frozen Green Okra &quot;Zero&quot; - 400 gram,Basma,26.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h62/h65/14623556927518/11655_main.jpg_200Wx200H,Egypt
Halwany Jumbo Burger -1.5 Kilo,Halwani bros,344.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8e/h02/28796127150110/581117_main.jpg_200Wx200H,Egypt
Almarai Beef Hot Dog - 900 gram,Almarai,170.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbc/h94/15054965080094/151836_main.jpg_200Wx200H,Egypt
Nouri Crunchy Chicken Fillet - 1 KG,Unknown,215.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hcf/h3c/45710400946206/200Wx200H_600849_main.jpg,Egypt
Basma Excellent Frozen Green Okra - 400 gram,Basma,13.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc8/h6b/14623556763678/11656_main.jpg_200Wx200H,Egypt
Three Chefs Beef Burger - 1Kg,3 Chefs,199.55 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h37/h44/16764523872286/126899_main.jpg_200Wx200H,Egypt
Almarai Beef Frankfurter - 25 Count,Almarai,170.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h71/hed/15054964588574/219266_main.jpg_200Wx200H,Egypt
Basma Green Minced Molokhia with Garlic Mix - 400 gram,Basma,13.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h1b/h31/14623633276958/287546_main.jpg_200Wx200H,Egypt
Nouri Chicken Fillet Spicy - 1 KG,Unknown,215.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb2/hfb/45710402322462/200Wx200H_600850_main.jpg,Egypt
Three Chefs Oriental Sausage - 900 gram,3 Chefs,190.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h5f/h44/16764528394270/202368_main.jpg_200Wx200H,Egypt
Halwani Minced Meat - 900 gram,Halwani bros,291.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h85/h2c/14773471543326/161358_main.jpg_200Wx200H,Egypt
Shahd Frozen Whole Chicken - 950-1000 gm,Shahd,138.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb9/h94/12978373492766/226634_main.jpg_200Wx200H,Egypt
Basma Frozen Green Okra Extra - 400 gram,Basma,30.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7d/h80/14623556141086/11657_main.jpg_200Wx200H,Egypt
Three Chefs Beef Kofta Shish - 900 gram,3 Chefs,210.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he0/h44/27056023371806/572462_main.jpg_200Wx200H,Egypt
