Description,Brand,Price,Img url,Country
Red Apples,Unknown,39.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd5/h94/35140083056670/200Wx200H_369185_main.jpg,Egypt
Potatoes For Frying,Unknown,10.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h74/ha5/35140083515422/200Wx200H_157967_main.jpg,Egypt
Cucumber,Unknown,11.23 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha5/h31/35140082237470/200Wx200H_32594_main.jpg,Egypt
Yellow Onion,Unknown,18.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h35/h3c/35140082565150/200Wx200H_430140_main.jpg,Egypt
Bio Land Packed Organic Cucumbers - 1Kg,Unknown,49.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hcd/h70/11510091841566/315892_main.jpg_200Wx200H,Egypt
Sweet Potatoes,Unknown,5.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbf/h85/35140077486110/200Wx200H_32882_main.jpg,Egypt
Yellow Bell Pepper,Unknown,24.03 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he0/h3f/35140079058974/200Wx200H_32613_main.jpg,Egypt
Red Onions,Unknown,18.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf1/h37/35140081254430/200Wx200H_32762_main.jpg,Egypt
Red Bell Pepper,Unknown,24.03 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h30/h0e/35140078895134/200Wx200H_32615_main.jpg,Egypt
Isis Capsicum Mix Foam - 350 Gram,Unknown,35.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h60/hd3/11510093152286/147930_main.jpg_200Wx200H,Egypt
Potatoes For Cooking,Unknown,9.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd7/hfe/35140084072478/200Wx200H_32750_main.jpg,Egypt
Balady Lemons,Unknown,11.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4f/h57/35140079714334/200Wx200H_32483_main.jpg,Egypt
Carrot,Unknown,7.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h50/h23/35140078239774/200Wx200H_32634_main.jpg,Egypt
Bio Land Packed Organic Red Bell Pepper - 500 gram,Unknown,52.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h02/h1c/44726499016734/200Wx200H_315900_main.jpg,Egypt
Balady Bell Peppers,Unknown,10.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h77/he2/35140076830750/200Wx200H_32652_main.jpg,Egypt
Bio Potato - 1Kg,Unknown,49.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he0/he4/11510089515038/315893_main.jpg_200Wx200H,Egypt
Zucchini,Unknown,13.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc0/h18/35140078567454/200Wx200H_32609_main.jpg,Egypt
Bio Land Packed Organic Yellow Bell Pepper - 500 gram,Unknown,52.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3b/h71/44726498623518/200Wx200H_315901_main.jpg,Egypt
Ginger,Unknown,134.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h61/h2d/35140081582110/200Wx200H_32761_main.jpg,Egypt
Big Eggplants,Unknown,4.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/haf/ha8/35140080042014/200Wx200H_32606_main.jpg,Egypt
Bio Onion Gold - 1Kg,Unknown,64.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf6/he8/11510089678878/315895_main.jpg_200Wx200H,Egypt
Baby Potato,Unknown,7.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf4/hb9/27995568898078/110560_main.jpg_200Wx200H,Egypt
Prince Apple,Unknown,38.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3c/hd6/14623563841566/498140_main.jpg_200Wx200H,Egypt
Chinese Garlic,Unknown,84.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8b/h31/35140081418270/200Wx200H_32760_main.jpg,Egypt
Royal Gala Small Apples,Unknown,19.99 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf3/had/26615212507166/387719_main.jpg_200Wx200H,Egypt
Green Bell Peppers,Unknown,16.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h47/h12/35140078731294/200Wx200H_32614_main.jpg,Egypt
Isis Lemon Balady - 250 Gram,Isis,37.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h04/hbc/11510093807646/42965_main.jpg_200Wx200H,Egypt
Red Beets,Unknown,9.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h95/h20/35140081909790/200Wx200H_32591_main.jpg,Egypt
Green Chili Pepper,Unknown,11.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd6/h1c/35140078403614/200Wx200H_32621_main.jpg,Egypt
Bio Capsicum Mix - 500 Gram,Unknown,52.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he4/hc8/11510093479966/315902_main.jpg_200Wx200H,Egypt
Red Chilli Pepper,Unknown,17.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h33/hf0/35140084563998/200Wx200H_32619_main.jpg,Egypt
Bio Tomato Foam - 1Kg,Unknown,32.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0f/hc9/13171178602526/310878_main.jpg_200Wx200H,Egypt
Green Beans,Unknown,9.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he0/h78/35140077813790/200Wx200H_32645_main.jpg,Egypt
Bio Land Packed Organic Red Onions - 1Kg,Unknown,65.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h89/hcf/13171178438686/315894_main.jpg_200Wx200H,Egypt
Black Eggplants,Unknown,4.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0f/he9/9291277828126/32608_main.jpeg_200Wx200H,Egypt
Isis Packed Organic Red Bell Pepper - 350 gram,Unknown,45.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8c/h18/9342494572574/135297_main.jpg_200Wx200H,Egypt
Red Cabbage,Unknown,11.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h9f/h08/10065917214750/32602_main.jpg_200Wx200H,Egypt
Bio Zucchini - 1Kg,Unknown,60.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h70/hef/11510089842718/315899_main.jpg_200Wx200H,Egypt
White Cabbage,Unknown,11.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h40/ha9/14623622823966/32601_main.jpg_200Wx200H,Egypt
Royal Gala Apples,Unknown,39.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6d/hac/35140088234014/200Wx200H_398651_main.jpg,Egypt
Cucumber - 1Kg,Unknown,27.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h18/h0a/9342287708190/213783_main.jpg_200Wx200H,Egypt
Pink Grapefruit,Unknown,7.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h62/hf0/35140089053214/200Wx200H_32494_main.jpg,Egypt
Adalia Lemons,Unknown,6.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he9/h50/35140079550494/200Wx200H_32485_main.jpg,Egypt
Ambrosia Apples,Unknown,47.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbc/hbc/12832796377118/309140_main.jpg_200Wx200H,Egypt
Isis Capsicum Yellow - 350 Gram,Unknown,43.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb2/h7a/44726498394142/200Wx200H_135296_main.jpg,Egypt
PEPPER MIXED 500 GM,Unknown,29.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h5e/h07/15474805178398/213779_main.jpg_200Wx200H,Egypt
Bio Eggplant -1Kg,Unknown,35.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h01/h56/10187784552478/404795_main.jpg_200Wx200H,Egypt
Guava,Unknown,16.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h78/hc1/35140088889374/200Wx200H_32558_main.jpg,Egypt
Bio Lemon - 250 Gram,Unknown,17.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hac/h03/11008130056222/315905_main.jpg_200Wx200H,Egypt
Oranges For Juice - 2 Kg,Unknown,34.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h88/h10/28116223950878/296867_main.jpg_200Wx200H,Egypt
Bio Carrot - 500 Gram,Unknown,23.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h85/hcd/11510092496926/315904_main.jpg_200Wx200H,Egypt
Golden Apple - Medium,Unknown,42.48 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hff/h32/13216093372446/398517_main.jpg_200Wx200H,Egypt
A- APPLE AMBROSIA (SMALL),Unknown,39.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hee/h07/13230737817630/546344_main.jpg_200Wx200H,Egypt
Turnips,Unknown,4.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfb/he9/35140089217054/200Wx200H_291479_main.jpg,Egypt
Golden Apples,Unknown,38.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h24/h5f/14481863475230/487488_main.jpg_200Wx200H,Egypt
Golden Berries,Unknown,29.98 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf2/h96/12832872103966/57766_main.jpg_200Wx200H,Egypt
