Description,Brand,Price,Img url,Country
Crystal Sunflower Oil - 5 L,Crystal,414.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h5c/h9e/15070709383198/447683_main.jpg_200Wx200H,Egypt
Afia Sunflower Oil - 2.2 liters,Afia,187.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h70/hff/15070784028702/544731_main.jpg_200Wx200H,Egypt
Crystal Sunflower Oil - 2.2 Liters,Crystal,190.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h9a/h45/15070774657054/543989_main.jpg_200Wx200H,Egypt
Afia Plus Corn Oil 2.2 Liters,Afia,207.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8a/h50/15173295734814/546296_main.jpg_200Wx200H,Egypt
Al Doha Fine Flour for All Purposes - 1 Kilo,El Doha,28.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc0/h40/15127754670110/17966_main.jpg_200Wx200H,Egypt
Al Doha Egyptian Rice - 1kg,El Doha,43.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h31/hf2/15127751163934/17997_main.jpg_200Wx200H,Egypt
Crystal Corn Oil - 2.2 Liters,Crystal,229.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h34/h3f/15070774493214/543987_main.jpg_200Wx200H,Egypt
Qalia Mixed Oil - 1 Liter,Qaleya,64.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h77/ha4/15070725799966/489630_main.jpg_200Wx200H,Egypt
Crystal Vegetable Gold Ghee - 1.5kg,Crystal,121.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3b/hab/15070709710878/305569_main.jpg_200Wx200H,Egypt
El Saa Rice - 1kg,El Saa,41.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he2/hef/14786613182494/334177_main.jpg_200Wx200H,Egypt
Crystal Sunflower Oil - 1.6 Liters,Crystal,139.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h03/h33/27008409698334/488095_main.jpg_200Wx200H,Egypt
Crystal Vegetable White Ghee - 1.5kg,Crystal,121.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc5/h51/15070710104094/305567_main.jpg_200Wx200H,Egypt
Harvest Tomato Paste - 800 gram,Harvest,56.85 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd7/hf5/14952246640670/373805_main.jpg_200Wx200H,Egypt
El Bawadi Plain Halwa - 970 gram.,El bawadi,123.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2c/h34/44951079747614/200Wx200H_286702_main.jpg,Egypt
Qaleya Frying Oil - 700ml,Qaleya,47.85 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he8/h8e/15070719442974/17722_main.jpg_200Wx200H,Egypt
Afia Sunflower Oil - 1.6 Liters,Afia,139.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd5/hff/15070726357022/485578_main.jpg_200Wx200H,Egypt
Afia Plus Corn Oil - 1.6 Liter,Afia,154.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h94/h3f/15173295243294/546295_main.jpg_200Wx200H,Egypt
El Rashidi El Mizan Tahina - 450 gram,El rashidi el mizan,91.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7f/h7d/47857084661790/200Wx200H_17570_main.jpg,Egypt
Crystal Sunflower Oil - 800ml,Crystal,70.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2d/h21/15070778228766/543988_main.jpg_200Wx200H,Egypt
Italiano Pasta Spaghetti - 400 Gm,Italiano,16.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hcb/haf/14895209381918/16891_main.jpg_200Wx200H,Egypt
Wadi Food Extra Virgin Olive Oil 500ml,Wadi Food,351.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h62/h7f/14623522816030/417127_main.jpg_200Wx200H,Egypt
Afia Corn Oil - 2.2 Liter,Afia,224.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb0/h91/15070785175582/544732_main.jpg_200Wx200H,Egypt
El Rashid El Mizan Tahina - 700 gram,El rashidi el mizan,133.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfc/h9c/47857217699870/200Wx200H_488194_main.jpg,Egypt
Abu Auf Turkish Medium Plain Coffee - 200 gram,Abu auf,94.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hdd/hc7/14530837708830/485643_main.jpg_200Wx200H,Egypt
Harvest Tomato Paste - 375 gram,Harvest,28.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2e/hfa/26493624680478/375049_main.jpg_200Wx200H,Egypt
El-Maleka Pasta Vermicelli - 400 Gm,Elmaleka,12.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h16/he3/48236963266590/200Wx200H_46903_main.jpg,Egypt
El-Maleka Pasta Spaghetti - 400 Gm,Elmaleka,12.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6e/h76/48236964315166/200Wx200H_16904_main.jpg,Egypt
Crystal Corn Oil - 1.6 Liter,Crystal,168.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2c/hae/15070722129950/488093_main.jpg_200Wx200H,Egypt
Asil Sunflower Oil - 1.5 Liter,Al Asil,112.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd1/h38/15070740906014/414320_main.jpg_200Wx200H,Egypt
Abu Auf Coffee With Cardamom - 200 Gram,Abu auf,119.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h83/h57/14530827223070/485645_main.jpg_200Wx200H,Egypt
El Mizan Plain Halawa - 900 gm,El rashidi el mizan,122.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h54/hc3/47857220157470/200Wx200H_534858_main.jpg,Egypt
El Arosa Egyptian Dust Black Tea - 100 grams,El arosa tea,19.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h85/he1/14584684347422/18807_main.jpg_200Wx200H,Egypt
N1 Instant Coffee - 200gm,Unknown,139.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h5a/h0a/9055663259678/124395_main.jpg_200Wx200H,Egypt
El Maleka Penne Pasta - 1 kg,Elmaleka,28.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha7/hcb/48236963921950/200Wx200H_251412_main.jpg,Egypt
El Hanim Vegetable Ghee - 1.5kg,Unknown,117.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hef/hab/15070607638558/98975_main.jpg_200Wx200H,Egypt
